id,session_id,question_id,started_at,submitted_at,selected_option,is_correct,time_taken_sec,attempt_number,created_at
151,74cabe62-210c-4044-9c54-4a3b9b458215,2,2026-01-06 11:06:00.207945,,,,,,2026-01-06 11:06:00.315517
152,6ea7605a-2492-45d4-8223-a19bbf0d9f22,64,2026-01-06 11:18:21.84622,,,,,,2026-01-06 11:18:21.953306
153,6ea7605a-2492-45d4-8223-a19bbf0d9f22,16,2026-01-06 11:18:31.524516,,,,,,2026-01-06 11:18:31.631597
154,23aa0750-0ea1-4d60-81ef-936e73d37eb2,66,2026-01-06 11:21:29.327021,2026-01-06 11:21:33.648596,B,false,4,1,2026-01-06 11:21:29.434436
155,23aa0750-0ea1-4d60-81ef-936e73d37eb2,53,2026-01-06 11:21:35.45218,2026-01-06 11:21:38.596253,B,true,3,2,2026-01-06 11:21:35.559216
156,23aa0750-0ea1-4d60-81ef-936e73d37eb2,39,2026-01-06 11:21:40.405905,2026-01-06 11:21:43.096552,B,false,2,3,2026-01-06 11:21:40.512994
157,23aa0750-0ea1-4d60-81ef-936e73d37eb2,3,2026-01-06 11:21:44.887612,2026-01-06 11:21:47.688071,C,false,2,4,2026-01-06 11:21:44.994754
158,23aa0750-0ea1-4d60-81ef-936e73d37eb2,37,2026-01-06 11:21:49.420847,2026-01-06 11:21:51.996587,A,false,2,5,2026-01-06 11:21:49.528063
159,23aa0750-0ea1-4d60-81ef-936e73d37eb2,42,2026-01-06 11:21:53.730874,2026-01-06 11:22:00.648066,C,true,6,6,2026-01-06 11:21:53.838017
160,23aa0750-0ea1-4d60-81ef-936e73d37eb2,22,2026-01-06 11:22:02.471076,2026-01-06 11:22:05.046295,D,false,2,7,2026-01-06 11:22:02.57826
161,23aa0750-0ea1-4d60-81ef-936e73d37eb2,24,2026-01-06 11:22:06.806017,2026-01-06 11:22:10.196251,D,false,3,8,2026-01-06 11:22:06.913166
162,23aa0750-0ea1-4d60-81ef-936e73d37eb2,4,2026-01-06 11:22:11.936505,2026-01-06 11:22:14.953205,D,false,3,9,2026-01-06 11:22:12.04362
163,23aa0750-0ea1-4d60-81ef-936e73d37eb2,29,2026-01-06 11:22:16.717384,2026-01-06 11:22:19.086487,B,false,2,10,2026-01-06 11:22:16.82453
164,23aa0750-0ea1-4d60-81ef-936e73d37eb2,20,2026-01-06 11:22:20.883178,2026-01-06 11:22:24.565971,D,true,3,11,2026-01-06 11:22:20.99086
165,23aa0750-0ea1-4d60-81ef-936e73d37eb2,46,2026-01-06 11:22:26.321493,2026-01-06 11:22:29.098254,D,false,2,12,2026-01-06 11:22:26.428863
166,23aa0750-0ea1-4d60-81ef-936e73d37eb2,34,2026-01-06 11:22:30.825925,2026-01-06 11:22:33.5474,C,false,2,13,2026-01-06 11:22:30.933001
167,23aa0750-0ea1-4d60-81ef-936e73d37eb2,33,2026-01-06 11:22:35.282637,2026-01-06 11:22:38.136314,C,false,2,14,2026-01-06 11:22:35.389835
168,23aa0750-0ea1-4d60-81ef-936e73d37eb2,41,2026-01-06 11:22:39.862674,2026-01-06 11:22:42.77614,C,false,2,15,2026-01-06 11:22:39.969875
169,23aa0750-0ea1-4d60-81ef-936e73d37eb2,64,2026-01-06 11:22:44.512167,2026-01-06 11:22:48.037342,D,false,3,16,2026-01-06 11:22:44.619231
170,23aa0750-0ea1-4d60-81ef-936e73d37eb2,67,2026-01-06 11:22:49.771997,2026-01-06 11:22:57.047909,C,true,7,17,2026-01-06 11:22:49.879106
171,23aa0750-0ea1-4d60-81ef-936e73d37eb2,59,2026-01-06 11:22:58.796365,2026-01-06 11:23:01.546039,C,true,2,18,2026-01-06 11:22:58.905477
172,23aa0750-0ea1-4d60-81ef-936e73d37eb2,8,2026-01-06 11:23:03.286523,2026-01-06 11:23:05.967732,B,true,2,19,2026-01-06 11:23:03.39365
173,23aa0750-0ea1-4d60-81ef-936e73d37eb2,35,2026-01-06 11:23:07.712666,2026-01-06 11:23:10.406386,C,false,2,20,2026-01-06 11:23:07.819741
174,23aa0750-0ea1-4d60-81ef-936e73d37eb2,19,2026-01-06 11:23:12.141708,2026-01-06 11:23:15.046261,D,false,2,21,2026-01-06 11:23:12.248977
175,23aa0750-0ea1-4d60-81ef-936e73d37eb2,30,2026-01-06 11:23:16.777388,2026-01-06 11:23:20.368742,B,true,3,22,2026-01-06 11:23:16.884657
176,23aa0750-0ea1-4d60-81ef-936e73d37eb2,61,2026-01-06 11:23:22.090932,2026-01-06 11:23:24.897411,B,true,2,23,2026-01-06 11:23:22.19852
177,23aa0750-0ea1-4d60-81ef-936e73d37eb2,68,2026-01-06 11:23:26.641489,2026-01-06 11:23:32.527665,C,true,5,24,2026-01-06 11:23:26.748663
178,23aa0750-0ea1-4d60-81ef-936e73d37eb2,16,2026-01-06 11:23:34.251876,2026-01-06 11:23:37.737647,D,false,3,25,2026-01-06 11:23:34.358949
179,a754bf8d-d1a8-4f72-a056-b24ec858e412,48,2026-01-06 11:39:44.535519,2026-01-06 11:39:58.136721,A,true,13,1,2026-01-06 11:39:44.642007
180,a754bf8d-d1a8-4f72-a056-b24ec858e412,40,2026-01-06 11:39:59.91481,2026-01-06 11:40:11.295552,C,true,11,2,2026-01-06 11:40:00.021305
181,a754bf8d-d1a8-4f72-a056-b24ec858e412,13,2026-01-06 11:40:13.035768,2026-01-06 11:40:50.14632,B,true,37,3,2026-01-06 11:40:13.142161
182,a754bf8d-d1a8-4f72-a056-b24ec858e412,66,2026-01-06 11:40:51.954362,2026-01-06 11:41:40.759349,D,false,48,4,2026-01-06 11:40:52.060602
183,a754bf8d-d1a8-4f72-a056-b24ec858e412,56,2026-01-06 11:41:42.643261,2026-01-06 11:41:53.014196,B,true,10,5,2026-01-06 11:41:42.749396
184,a754bf8d-d1a8-4f72-a056-b24ec858e412,58,2026-01-06 11:41:54.838231,2026-01-06 11:42:13.522581,B,false,18,6,2026-01-06 11:41:54.944624
185,a754bf8d-d1a8-4f72-a056-b24ec858e412,50,2026-01-06 11:42:15.297348,2026-01-06 11:42:51.321984,B,true,36,7,2026-01-06 11:42:15.403468
186,98082e17-c816-41db-b346-6b625c6aea73,10,2026-01-06 11:42:17.819061,2026-01-06 11:42:45.657209,A,false,27,1,2026-01-06 11:42:17.925171
187,98082e17-c816-41db-b346-6b625c6aea73,36,2026-01-06 11:42:47.394975,2026-01-06 11:43:18.659802,B,true,31,2,2026-01-06 11:42:47.501317
188,a754bf8d-d1a8-4f72-a056-b24ec858e412,65,2026-01-06 11:42:53.131883,2026-01-06 11:43:29.762571,D,false,36,8,2026-01-06 11:42:53.237997
189,98082e17-c816-41db-b346-6b625c6aea73,40,2026-01-06 11:43:20.397882,2026-01-06 11:43:28.435586,C,true,8,3,2026-01-06 11:43:20.504305
190,98082e17-c816-41db-b346-6b625c6aea73,32,2026-01-06 11:43:30.178563,2026-01-06 11:43:36.404485,C,false,6,4,2026-01-06 11:43:30.292576
191,a754bf8d-d1a8-4f72-a056-b24ec858e412,55,2026-01-06 11:43:31.674921,2026-01-06 11:43:44.125943,B,true,12,9,2026-01-06 11:43:31.778303
192,98082e17-c816-41db-b346-6b625c6aea73,39,2026-01-06 11:43:38.159707,2026-01-06 11:44:03.144904,A,false,24,5,2026-01-06 11:43:38.263087
193,a754bf8d-d1a8-4f72-a056-b24ec858e412,29,2026-01-06 11:43:45.905726,2026-01-06 11:44:07.989725,C,true,22,10,2026-01-06 11:43:46.00916
194,98082e17-c816-41db-b346-6b625c6aea73,9,2026-01-06 11:44:04.873293,2026-01-06 11:44:26.184694,A,false,21,6,2026-01-06 11:44:04.976494
195,a754bf8d-d1a8-4f72-a056-b24ec858e412,6,2026-01-06 11:44:09.740922,2026-01-06 11:44:35.69565,B,false,25,11,2026-01-06 11:44:09.844047
196,98082e17-c816-41db-b346-6b625c6aea73,58,2026-01-06 11:44:28.076187,2026-01-06 11:44:44.914187,A,true,16,7,2026-01-06 11:44:28.179325
197,a754bf8d-d1a8-4f72-a056-b24ec858e412,9,2026-01-06 11:44:37.43499,2026-01-06 11:44:49.351294,A,false,11,12,2026-01-06 11:44:37.538339
198,98082e17-c816-41db-b346-6b625c6aea73,18,2026-01-06 11:44:46.637931,2026-01-06 11:45:57.215684,B,false,70,8,2026-01-06 11:44:46.741104
199,a754bf8d-d1a8-4f72-a056-b24ec858e412,39,2026-01-06 11:44:51.085971,2026-01-06 11:45:15.89576,C,false,24,13,2026-01-06 11:44:51.18909
200,a754bf8d-d1a8-4f72-a056-b24ec858e412,16,2026-01-06 11:45:17.63593,2026-01-06 11:45:48.046225,C,false,30,14,2026-01-06 11:45:17.739056
201,a754bf8d-d1a8-4f72-a056-b24ec858e412,44,2026-01-06 11:45:49.774567,2026-01-06 11:46:06.216466,C,true,16,15,2026-01-06 11:45:49.877656
